code,indicateurId,chart,Indicateur disponible,ODD,Cible
10,10.4.1,line,Oui,ODD 10 : Réduire les inégalités dans les pays et d’un pays à l’autre,"10.4 Adopter des politiques, notamment sur les plans budgétaire, salarial et dans le domaine de la protection sociale, afin de parvenir progressivement à une plus grande égalité"
10,10.5.1,lineGroup,Oui,ODD 10 : Réduire les inégalités dans les pays et d’un pays à l’autre,10.5 Améliorer la réglementation et la surveillance des institutions et marchés financiers mondiaux et renforcer l’application des règles
10,10.7.4,bar,Oui,ODD 10 : Réduire les inégalités dans les pays et d’un pays à l’autre,"10.7 Faciliter la migration et la mobilité de façon ordonnée, sûre, régulière et responsable, notamment par la mise en œuvre de politiques migratoires planifiées et bien gérées"
10,10.b.1,,Non,ODD 10 : Réduire les inégalités dans les pays et d’un pays à l’autre,"10.b Stimuler l’aide publique au développement et les flux financiers, y compris les investissements étrangers directs, en faveur des États qui en ont le plus besoin, en particulier les pays les moins avancés, les pays d’Afrique, les petits États insulaires en développement et les pays en développement sans littoral, conformément à leurs plans et programmes nationaux"
10,10.c.1,,Non,ODD 10 : Réduire les inégalités dans les pays et d’un pays à l’autre,"10.c D’ici à 2030, faire baisser au-dessous de 3 % les coûts de transaction des envois de fonds effectués par les migrants et éliminer les circuits d’envois de fonds dont les coûts sont supérieurs à 5 %"
11,11.1.1,line,Oui,"ODD 11 : Faire en sorte que les villes et établissements humains soient ouverts à tous, sûrs, résilients et durables.","11.1 D’ici à 2030, assurer l’accès de tous à un logement et des services de base adéquats et sûrs, à un coût abordable, et assainir les quartiers de taudis"
11,11.2.1,,Non,"ODD 11 : Faire en sorte que les villes et établissements humains soient ouverts à tous, sûrs, résilients et durables.","11.2 D’ici à 2030, assurer l’accès de tous à des systèmes de transport sûrs, accessibles et viables, à un coût abordable, en améliorant la sécurité routière, notamment en développant les transports publics, une attention particulière devant être accordée aux besoins des personnes en situation vulnérable, des femmes, des enfants, des personnes handicapées et des personnes âgées"
11,11.3.1,line,Oui,"ODD 11 : Faire en sorte que les villes et établissements humains soient ouverts à tous, sûrs, résilients et durables.",11.3 Text missing!
11,11.4.1,,Non,"ODD 11 : Faire en sorte que les villes et établissements humains soient ouverts à tous, sûrs, résilients et durables.",11.4 Redoubler d’efforts pour protéger et préserver le patrimoine culturel et naturel mondial
11,11.5.1,lineGroup,Oui,"ODD 11 : Faire en sorte que les villes et établissements humains soient ouverts à tous, sûrs, résilients et durables.","11.5 D’ici à 2030, réduire nettement le nombre de personnes tuées et le nombre de personnes touchées par les catastrophes, y compris celles qui sont liées à l’eau, et réduire nettement la part du produit intérieur brut mondial représentée par les pertes économiques directement imputables à ces catastrophes, l’accent étant mis sur la protection des pauvres et des personnes en situation vulnérable"
11,11.6.1,,Non,"ODD 11 : Faire en sorte que les villes et établissements humains soient ouverts à tous, sûrs, résilients et durables.","11.6 D’ici à 2030, réduire l’impact environnemental négatif des villes par habitant, y compris en accordant une attention particulière à la qualité de l’air et à la gestion, notamment municipale, des déchets"
11,11.6.2,,Non,"ODD 11 :  Faire en sorte que les villes et établissements humains soient ouverts à tous, sûrs, résilients et durables.","11.6 D’ici à 2030, réduire l’impact environnemental négatif des villes par habitant, y compris en accordant une attention particulière à la qualité de l’air et à la gestion, notamment municipale, des déchets"
11,11.7.2,,Non,"ODD 11 : Faire en sorte que les villes et établissements humains soient ouverts à tous, sûrs, résilients et durables.","11.7 D’ici à 2030, assurer l’accès de tous, en particulier des femmes et des enfants, des personnes âgées et des personnes handicapées, à des espaces verts et des espaces publics sûrs"
12,12.6.1,,Non,ODD 12 : Établir des modes de consommation et de production durables,"12.6 Encourager les entreprises, en particulier les grandes entreprises et les sociétés transnationales, à adopter des pratiques viables et à intégrer dans les rapports qu’elles établissent des informations sur la viabilité"
12,12.a.1,,Non,ODD 12 : Établir des modes de consommation et de production durables,12.a Aider les pays en développement à se doter des moyens scientifiques et technologiques qui leur permettent de s’orienter vers des modes de consommation et de production plus durables
12,12.8.1,,Non,ODD 12 : Établir des modes de consommation et de production durables,"12.8 : D’ici à 2030, faire en sorte que toutes les personnes, partout dans le monde, aient les informations et connaissances nécessaires au développement durable et à un style de vie en harmonie avec la nature"
12,12.1.1,,Non,ODD 12 : Établir des modes de consommation et de production durables,"12.1: Mettre en œuvre le Cadre décennal de programmation concernant les modes de consommation et de production durables avec la participation de tous les pays, les pays développés montrant l’exemple en la matière, compte tenu du degré de développement et des capacités des pays en développement"
12,12.4.1,,Non,ODD 12 : Établir des modes de consommation et de production durables,"12.4 D’ici à 2020, parvenir à une gestion écologiquement rationnelle des produits chimiques et de tous les déchets tout au long de leur cycle de vie, conformément aux principes directeurs arrêtés à l’échelle internationale, et réduire nettement leur déversement dans l’air, l’eau et le sol, afin de minimiser leurs effets négatifs sur la santé et l’environnement"
12,12.2.1,,Non,ODD 12 :  Établir des modes de consommation et de production durables,"12.2 : D’ici à 2030, parvenir à une gestion durable et à une utilisation rationnelle des ressources naturelles"
12,12.5.1,,Non,ODD 12 : Établir des modes de consommation et de production durables,"12.5 D’ici à 2030, réduire nettement la production de déchets par la prévention, la réduction, le recyclage et la réutilisation"
12,12.c.1,,Non,ODD 12 : Établir des modes de consommation et de production durables,"12.c Rationaliser les subventions aux combustibles fossiles qui sont source de gaspillage, grâce à l’élimination des distorsions du marché, eu égard au contexte national, y compris au moyen de la restructuration de la fiscalité et de la suppression progressive des subventions préjudiciables qui sont en place, en mettant en évidence leur impact sur l’environnement, en tenant pleinement compte des besoins et de la situation propres aux pays en développement et en réduisant au minimum les éventuels effets négatifs sur le développement de ces pays tout en protégeant les pauvres et les populations concernées"
13,13.1.1,lineGroup,Oui,ODD 13 : Prendre d’urgence des mesures pour lutter contre les changements climatiques et leurs répercussions ,"13.1 Renforcer, dans tous les pays, la résilience et les capacités d’adaptation face aux aléas climatiques et aux catastrophes naturelles liées au climat"
13,13.1.3,,Non,ODD 13 : Prendre d’urgence des mesures pour lutter contre les changements climatiques et leurs répercussions ,"13.1 Renforcer, dans tous les pays, la résilience et les capacités d’adaptation face aux aléas climatiques et aux catastrophes naturelles liées au climat"
13,13.2.1,,Non,ODD 13 : Prendre d’urgence des mesures pour lutter contre les changements climatiques et leurs répercussions ,"13.2 Incorporer des mesures relatives aux changements climatiques dans les politiques, les stratégies et la planification nationales"
13,13.2.2,lineGroup,Oui,ODD 13 : Prendre d’urgence des mesures pour lutter contre les changements climatiques et leurs répercussions ,"13.2 Incorporer des mesures relatives aux changements climatiques dans les politiques, les stratégies et la planification nationales"
13,13.3.1,,Non,ODD 13 : Prendre d’urgence des mesures pour lutter contre les changements climatiques et leurs répercussions ,"13.3 Améliorer l’éducation, la sensibilisation et les capacités individuelles et institutionnelles en ce qui concerne l’adaptation aux changements climatiques, l’atténuation de leurs effets et la réduction de leur impact et les systèmes d’alerte rapide"
14,14.1.1,,Non,"ODD 14 : Conserver et exploiter de manière durable les océans, les mers et les ressources marines aux fins du développement durable","14.1 D’ici à 2025, prévenir et réduire nettement la pollution marine de tous types, en particulier celle résultant des activités terrestres, y compris les déchets en mer et la pollution par les nutriments"
14,14.2.1,,Non,"ODD 14 : Conserver et exploiter de manière durable les océans, les mers et les ressources marines aux fins du développement durable","14.2 D’ici à 2020, gérer et protéger durablement les écosystèmes marins et côtiers, notamment en renforçant leur résilience, afin d’éviter les graves conséquences de leur dégradation et prendre des mesures en faveur de leur restauration pour rétablir la santé et la productivité des océans"
14,14.4.1,,Oui,"ODD 14 : Conserver et exploiter de manière durable les océans, les mers et les ressources marines aux fins du développement durable","14.4 D’ici à 2020, réglementer efficacement la pêche, mettre un terme à la surpêche, à la pêche illicite, non déclarée et non réglementée et aux pratiques de pêche destructrices et exécuter des plans de gestion fondés sur des données scientifiques, l’objectif étant de rétablir les stocks de poissons le plus rapidement possible, au moins à des niveaux permettant d’obtenir un rendement constant maximal compte tenu des caractéristiques biologiques"
14,14.5.1,,Non,"ODD 14 : Conserver et exploiter de manière durable les océans, les mers et les ressources marines aux fins du développement durable","14.5 D’ici à 2020, préserver au moins 10 % des zones marines et côtières, conformément au droit national et international et compte tenu des meilleures informations scientifiques disponibles"
14,14.7.1,line,Oui,"ODD 14 : Conserver et exploiter de manière durable les océans, les mers et les ressources marines aux fins du développement durable","14.7 D’ici à 2030, faire bénéficier plus largement les petits États insulaires en développement et les pays les moins avancés des retombées économiques de l’exploitation durable des ressources marines, notamment grâce à une gestion durable des pêches, de l’aquaculture et du tourisme"
14,14.b.1,list,Oui,"ODD 14 : Conserver et exploiter de manière durable les océans, les mers et les ressources marines aux fins du développement durable",14.b Garantir aux petits pêcheurs l’accès aux ressources marines et aux marchés
15,15.1.1,line,Oui,"ODD 15 : Préserver et restaurer les écosystèmes terrestres, en veillant à les exploiter de façon durable, gérer durablement les forêts, lutter contre la désertification, enrayer et inverser le processus de dégradation des terres et mettre fin à l’appauvrissement de la biodiversité","15.1 D’ici à 2020, garantir la préservation, la restauration et l’exploitation durable des écosystèmes terrestres et des écosystèmes d’eau douce et des services connexes, en particulier des forêts, des zones humides, des montagnes et des zones arides, conformément aux obligations découlant des accords internationaux"
15,15.1.2,line,Oui,"ODD 15 : Préserver et restaurer les écosystèmes terrestres, en veillant à les exploiter de façon durable, gérer durablement les forêts, lutter contre la désertification, enrayer et inverser le processus de dégradation des terres et mettre fin à l’appauvrissement de la biodiversité","15.1 D’ici à 2020, garantir la préservation, la restauration et l’exploitation durable des écosystèmes terrestres et des écosystèmes d’eau douce et des services connexes, en particulier des forêts, des zones humides, des montagnes et des zones arides, conformément aux obligations découlant des accords internationaux"
15,15.2.1,bar,Oui,"ODD 15 : Préserver et restaurer les écosystèmes terrestres, en veillant à les exploiter de façon durable, gérer durablement les forêts, lutter contre la désertification, enrayer et inverser le processus de dégradation des terres et mettre fin à l’appauvrissement de la biodiversité","15.2 D’ici à 2020, promouvoir la gestion durable de tous les types de forêt, mettre un terme à la déforestation, restaurer les forêts dégradées et accroître nettement le boisement et le reboisement au niveau mondial"
15,15.7.1,,Non,"ODD 15 : Préserver et restaurer les écosystèmes terrestres, en veillant à les exploiter de façon durable, gérer durablement les forêts, lutter contre la désertification, enrayer et inverser le processus de dégradation des terres et mettre fin à l’appauvrissement de la biodiversité",15.7 Prendre d’urgence des mesures pour mettre un terme au braconnage et au trafic d’espèces végétales et animales protégées et s’attaquer au problème sous l’angle de l’offre et de la demande 
15,15.9.1,,Non,"ODD 15 : Préserver et restaurer les écosystèmes terrestres, en veillant à les exploiter de façon durable, gérer durablement les forêts, lutter contre la désertification, enrayer et inverser le processus de dégradation des terres et mettre fin à l’appauvrissement de la biodiversité","15.9 D’ici à 2020, intégrer la protection des écosystèmes et de la biodiversité dans la planification nationale, dans les mécanismes de développement, dans les stratégies de réduction de la pauvreté et dans la comptabilité"
15,15.a.1,,Non,"ODD 15 : Préserver et restaurer les écosystèmes terrestres, en veillant à les exploiter de façon durable, gérer durablement les forêts, lutter contre la désertification, enrayer et inverser le processus de dégradation des terres et mettre fin à l’appauvrissement de la biodiversité",15.a Mobiliser des ressources financières de toutes provenances et les augmenter nettement pour préserver la biodiversité et les écosystèmes et les exploiter durablement
16,16.1.1,,Non  ,"ODD 16 : Paix, Justice et Institutions efficaces","16.1 Réduire nettement, partout dans le monde, toutes les formes de violence et les taux de mortalité qui y sont associés"
16,16.1.3,,Non,"ODD 16 : Paix, Justice et Institutions efficaces","16.1 Réduire nettement, partout dans le monde, toutes les formes de violence et les taux de mortalité qui y sont associés"
16,16.1.4,,Oui,"ODD 16 : Paix, Justice et Institutions efficaces","16.1 Réduire nettement, partout dans le monde, toutes les formes de violence et les taux de mortalité qui y sont associés"
16,16.2.1,,Non,"ODD 16 : Paix, Justice et Institutions efficaces","16.2 Mettre un terme à la maltraitance, à l’exploitation et à la traite, et à toutes les formes de violence et de torture dont sont victimes les enfants"
16,16.2.3,,Non,"ODD 16 : Paix, Justice et Institutions efficaces","16.2 Mettre un terme à la maltraitance, à l’exploitation et à la traite, et à toutes les formes de violence et de torture dont sont victimes les enfants"
16,16.3.1,,Non,"ODD 16 : Paix, Justice et Institutions efficaces",16.3 Promouvoir l’état de droit dans l’ordre interne et international et garantir à tous un égal accès à la justice
16,16.3.2,,Oui,"ODD 16 : Paix, Justice et Institutions efficaces",16.3 Promouvoir l’état de droit dans l’ordre interne et international et garantir à tous un égal accès à la justice
16,16.4.1,,Non,"ODD 16 : Paix, Justice et Institutions efficaces","16.4 D’ici à 2030, réduire nettement les flux financiers illicites et le trafic d’armes, renforcer les activités de récupération et de restitution des biens volés et lutter contre toutes les formes de criminalité organisée"
16,16.5.1,,Oui,"ODD 16 : Paix, Justice et Institutions efficaces",16.5 Réduire nettement la corruption et la pratique des pots-de-vin sous toutes leurs formes
16,16.5.2,,Non,"ODD 16 : Paix, Justice et Institutions efficaces",16.5 Réduire nettement la corruption et la pratique des pots-de-vin sous toutes leurs formes
16,16.6.1,,Non,"ODD 16 : Paix, Justice et Institutions efficaces","16.6 Mettre en place des institutions efficaces, responsables et transparentes à tous les niveaux"
16,16.7.2,list,Oui,"ODD 16 : Paix, Justice et Institutions efficaces","16.7 Faire en sorte que le dynamisme, l’ouverture, la participation et la représentation à tous les niveaux caractérisent la prise de décisions"
16,16.9.1,,Oui,"ODD 16 : Paix, Justice et Institutions efficaces","16.9 D’ici à 2030, garantir à tous une identité juridique, notamment grâce à l’enregistrement des naissances"
16,16.10.1,,Oui,"ODD 16 : Paix, Justice et Institutions efficaces","16.10 Garantir l’accès public à l’information et protéger les libertés fondamentales, conformément à la législation nationale et aux accords internationaux"
17,17.1.1,line,Oui,ODD 17 : Renforcer les moyens de mettre en œuvre le Partenariat mondial pour le développement durable et le revitaliser,"17.1 Améliorer, notamment grâce à l’aide internationale aux pays en développement, la mobilisation de ressources nationales en vue de renforcer les capacités nationales de collecte de l’impôt et d’autres recettes "
17,17.1.2,line,Oui,ODD 17 : Renforcer les moyens de mettre en œuvre le Partenariat mondial pour le développement durable et le revitaliser,"17.1 Améliorer, notamment grâce à l’aide internationale aux pays en développement, la mobilisation de ressources nationales en vue de renforcer les capacités nationales de collecte de l’impôt et d’autres recettes "
17,17.3.1,line,Oui,ODD 17 : Renforcer les moyens de mettre en œuvre le Partenariat mondial pour le développement durable et le revitaliser,17.3 Mobiliser des ressources financières supplémentaires de diverses provenances en faveur des pays en développement
17,17.4.1,line,Oui,ODD 17 : Renforcer les moyens de mettre en œuvre le Partenariat mondial pour le développement durable et le revitaliser,"17.4 Aider les pays en développement à assurer la viabilité à long terme de leur dette au moyen de politiques concertées visant à favoriser le financement de la dette, son allégement ou sa restructuration, selon le cas, et réduire le surendettement en réglant le problème de la dette extérieure des pays pauvres très endettés"
17,17.6.1,line,Oui,ODD 17 : Renforcer les moyens de mettre en œuvre le Partenariat mondial pour le développement durable et le revitaliser,"17.6 Renforcer l’accès à la science, à la technologie et à l’innovation et la coopération Nord-Sud et Sud-Sud et la coopération triangulaire régionale."
17,17.8.1,line,Oui,ODD 17 : Renforcer les moyens de mettre en œuvre le Partenariat mondial pour le développement durable et le revitaliser,"17.8 Faire en sorte que la banque de technologies et le mécanisme de renforcement des capacités scientifiques et technologiques et des capacités d’innovation des pays les moins avancés soient pleinement opérationnels d’ici à 2017 et renforcer l’utilisation des technologies clefs, en particulier de l’informatique et des communications"
17,17.10.1,,Non,ODD 17 : Renforcer les moyens de mettre en œuvre le Partenariat mondial pour le développement durable et le revitaliser,"17.10 Promouvoir un système commercial multilatéral universel, réglementé, ouvert, non discriminatoire et équitable sous l’égide de l’Organisation mondiale du commerce."
17,17.13.1,,Oui,ODD 17 : Renforcer les moyens de mettre en œuvre le Partenariat mondial pour le développement durable et le revitaliser,"17.13 Renforcer la stabilité macroéconomique mondiale, notamment en favorisant la coordination et la cohérence des politiques."
17,17.17.1,,Non,ODD 17 : Renforcer les moyens de mettre en œuvre le Partenariat mondial pour le développement durable et le revitaliser,"17.17 Encourager et promouvoir les partenariats publics, les partenariats public-privé et les partenariats avec la société civile, en faisant fond sur l’expérience acquise et les stratégies de financement appliquées en la matière"
17,17.18.1,,Non,ODD 17 : Renforcer les moyens de mettre en œuvre le Partenariat mondial pour le développement durable et le revitaliser,"17.18 D’ici à 2020, apporter un soutien accru au renforcement des capacités des pays en développement en collecte de données."
17,17.19.1,,Non,ODD 17 : Renforcer les moyens de mettre en œuvre le Partenariat mondial pour le développement durable et le revitaliser,"17.19 D’ici à 2030, tirer parti des initiatives existantes pour établir des indicateurs de progrès en matière de développement durable qui viendraient compléter le produit intérieur brut, et appuyer le renforcement des capacités statistiques des pays en développement"
